Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
Unbox Robotics,Bengaluru,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","BEENEXT, Entrepreneur First",2021,1200000.0,Pre-Series A,Technology
Lead School,Mumbai,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"GSV Ventures, Westbridge Capital",2021,30000000.0,Series D,Education
Bizongo,Mumbai,Bizongo is a business-to-business online marketplace for packaging products.,"CDC Group, IDG Capital",2021,51000000.0,Series C,E-Commerce and Retail
FypMoney,Gurugram,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.","Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2021,2000000.0,Seed Round,Finance and FinTech
Qube Health,Mumbai,India's Most Respected Workplace Healthcare Management Company,Inflection Point Ventures,2021,0.0,Pre-Series A,Healthcare and Wellness
Fitterfly,Mumbai,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.","9Unicorns Accelerator Fund, Metaform Ventures",2021,3000000.0,Pre-Series A,Healthcare and Wellness
MyDentalPlan,Bengaluru,My Dental Plan provides dental care packages and services.,Safe Planet Medicare,2021,700000.0,Seed Round,Healthcare and Wellness
ORAI,Bengaluru,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Inflection Point Ventures,2021,400000.0,Pre-Series A,Technology
ixamBee,New Delhi,ixamBee is to provide best online learning experience for preparation of competitive exams.,"Mumbai Angels, Narendra Shyamsukha",2021,300000.0,Seed Round,Education
CoinSwitch Kuber,Bengaluru,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Paradigm, Kunal Shah",2021,25000000.0,Series B,Finance and FinTech
Razorpay,Bengaluru,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Matrix Partners India, GIC",2021,160000000.0,Series E,Finance and FinTech
Uable,Bengaluru,Uable offers role based programmes to empower children to explore different domains.,"Chiratae Ventures, JAFCO Asia",2021,0.0,Seed Round,Education
ZFW Hospitality,New Delhi,Creating a sustainable and scalable cloud kitchen network.,"Mumbai Angels Network, Expert DOJO",2021,150000.0,Pre-Seed,Agriculture and Food
Optimized Electrotech,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",GVFL,2021,1800000.0,Pre-Series A,Aeorspace
Chara,Bengaluru,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Kalaari Capital,2021,850000.0,Seed Round,Technology
Sirona Hygiene,New Delhi,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"NB Ventures, IAN Fund",2021,3000000.0,Series A,Healthcare and Wellness
Pristyn Care,Gurugram,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,"Sequoia Capital India, Hummingbird Ventures",2021,53000000.0,Series D,Healthcare and Wellness
TrulyMadly,New Delhi,Trulymadly is a dating platform that uses a match making algorithm.,"Gaurav Munjal, Snehil Khanor",2021,2000000.0,Pre-Series A,Media and Entertainment
Jambox Games,Bengaluru,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Undisclosed,2021,1100000.0,Seed Round,Media and Entertainment
SuperK,Small Towns,SuperK is a full-stack solution to empower small format retail stores in India.,STRIVE VC,2021,800000.0,Seed Round,E-Commerce and Retail
TagZ Foods,Bengaluru,TagZ Foods is a supplier of snacks and food products.,Venture Catalysts,2021,500000.0,Pre-Series A,Agriculture and Food
TruNativ,Mumbai,TruNativ Foods & Beverages Pvt Ltd,9Unicorns,2021,0.0,Seed Round,Agriculture and Food
Puresh Daily,Ranchi,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners",2021,100000.0,Seed Round,Milk startup
LimeChat,Faridabad,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma",2021,7500000.0,Seed Round,Technology
Dybo,Bengaluru,Product Visualisation Technology for Commerce,Spanache,2021,100000.0,Seed Round,Technology
moEVing,Gurugram,"Delivering clean, cost-effective and efficient mobility solutions.",Undisclosed,2021,1000000.0,Seed Round,Transportation and Mobility
Solethreads,Gurugram,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital",2021,1000000.0,Series A,Consumer Goods
CredFlow,New Delhi,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2021,2000000.0,Seed Round,Finance and FinTech
AntWak,Bengaluru,AntWak provides a video platform for e-learning service.,"Vaibhav Domkundwar, Kunal Shah",2021,0.0,Seed Round,Education
PlayShifu,Bengaluru,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Chiratae Ventures, Bharat Innovation Fund",2021,17000000.0,Series B,Education
Pitstop,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Acko Technology, Services, LetsVenture",2021,3500000.0,Pre-Series A,Transportation and Mobility
Lendingkart,Gujarat,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Bertelsmann India Investments, Fullerton Financial Holdings",2021,15000000.0,Debt Financing,Finance and FinTech
CRED,Bengaluru,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,"Dragoneer Investment Group, Tiger Global Management",2021,215000000.0,Series D,Finance and FinTech
Karnival,Bengaluru,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,http://100x.vc/,2021,2500000.0,Seed Round,Technology
PharmEasy,Mumbai,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","TPG Growth, Caisse de Depot et Placement du Quebec",2021,350000000.0,Series E,Healthcare and Wellness
WESS,Mumbai,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Centrum Financial Services,2021,2000000.0,Seed Round,Energy and Environment
Rage Coffee,New Delhi,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,"GetVantage, Prakash Katama",2021,0.0,Pre-Series A,Agriculture and Food
Groww,Bengaluru,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Tiger Global Management, Y Combinator Continuity Fund",2021,83000000.0,Series D,Finance and FinTech
Avanti Finance,Bengaluru,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,Michael & Susan Dell Foundation,2021,26000000.0,Series A,Finance and FinTech
Kudos,Pune,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Marquee fintech founders,2021,0.0,Pre-Series A,Finance and FinTech
Superpro.ai,Bengaluru,Enabling independent professionals to bring offline consulting online with AI,"SOSV, Omphalos Ventures India",2021,3000000.0,Seed Round,Media and Entertainment
WiT-ACE,Gurugram,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",CitiusTech,2021,1000000.0,Seed Round,Transportation and Mobility
Spinny,Gurugram,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Arena Holdings, Think Investments",2021,65000000.0,Series C,E-Commerce and Retail
Alteria Capital,Mumbai,Alteria Capital is a Venture debt firm .,Undisclosed,2021,150000000000.0,Debt Financing,Finance and FinTech
PumPumPum,Gurugram,Pumpumpum is a car rental company.,"Kogta Financial India Limited, ICICI Bank",2021,700000.0,Pre-Series A,Real Estate and Construction
Eunimart,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"SucSEED Venture Partners, TMT Connekt",2021,700000.0,Pre-Series A,E-Commerce and Retail
Uable,Bengaluru,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,"JAFCO Asia, Chiratae Ventures",2021,35000000.0,Pre-Series A,Education
