Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount($),Stage,Sector
Unbox Robotics,Bengaluru,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","BEENEXT, Entrepreneur First",2021,1200000.0,Pre-Series A,Technology
upGrad,Mumbai,UpGrad is an online higher education platform.,"Unilazer Ventures, IIFL Asset Management",2021,120000000.0,Undisclosed,Education
Lead School,Mumbai,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"GSV Ventures, Westbridge Capital",2021,30000000.0,Series D,Education
Bizongo,Mumbai,Bizongo is a business-to-business online marketplace for packaging products.,"CDC Group, IDG Capital",2021,51000000.0,Series C,E-Commerce and Retail
FypMoney,Gurugram,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.","Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2021,2000000.0,Seed Round,Finance and FinTech
Urban Company,New Delhi,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",Vy Capital,2021,188000000.0,Undisclosed,Home services
Comofi Medtech,Bengaluru,Comofi Medtech is a healthcare robotics startup.,"CIIE.CO, KIIT-TBI",2021,200000.0,Undisclosed,Healthcare and Wellness
Qube Health,Mumbai,India's Most Respected Workplace Healthcare Management Company,Inflection Point Ventures,2021,0.0,Pre-Series A,Healthcare and Wellness
Vitra.ai,Bengaluru,Vitra.ai is an AI-based video translation platform,Inflexor Ventures,2021,0.0,Undisclosed,Technology
Taikee,Mumbai,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",Undisclosed,2021,1000000.0,Undisclosed,E-Commerce and Retail
Fitterfly,Mumbai,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.","9Unicorns Accelerator Fund, Metaform Ventures",2021,3000000.0,Pre-Series A,Healthcare and Wellness
FreeStand,New Delhi,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"SucSEED Indovation, IIM Calcutta Innovation Park",2021,100000.0,Undisclosed,B2B service
MyDentalPlan,Bengaluru,My Dental Plan provides dental care packages and services.,Safe Planet Medicare,2021,700000.0,Seed Round,Healthcare and Wellness
Freyr Energy,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Impact Partners, C4D Partners",2021,2000000.0,Undisclosed,Energy and Environment
DealShare,Jaipur,DealShare is a Social Commerce Startup,"Tiger Global Management, InnoVen Capital",2021,9000000.0,Undisclosed,E-Commerce and Retail
Tessolve,Bengaluru,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Novo Tellus Capital,2021,40000000.0,Undisclosed,E-Commerce and Retail
Smart Joules,New Delhi,Smart Joules is an energy management company.,"Raintree Family Office, ADB arm",2021,49000000.0,Undisclosed,Energy and Environment
